old,new,note
/blog/20222023/lion-br6d8-984h5-czra9,/shows/2022-2023/lion/,show -> custom post type
/blog/merchandise,/news/merchandise/,blog post -> news
/blog/2025/grab-dinner-at-harbor-lights,/news/2025/grab-dinner-at-harbor-lights/,blog post -> news
/blog/20222023/significantaudition-rrpga,/shows/2022-2023/significantaudition-rrpga/,show -> custom post type
/blog/20242025/murdermerlot,/shows/2024-2025/murdermerlot/,show -> custom post type
/blog/2022/spring-education-2022-bgrgt-267bt-xse3d,/news/2022/spring-education-2022-bgrgt-267bt-xse3d/,blog post -> news
/blog/2022/offshelf1-7wyr7-f8j4h-f4k43,/news/2022/offshelf1-7wyr7-f8j4h-f4k43/,blog post -> news
/blog/2016/fools-play-improv-at-tlt-gwn7e-yfh46,/news/2016/fools-play-improv-at-tlt-gwn7e-yfh46/,blog post -> news
/blog/2023/summer-camps-2023,/news/2023/summer-camps-2023/,blog post -> news
/blog/2019/inclement-weather-information,/news/2019/inclement-weather-information/,blog post -> news
/blog/20232024/fiddlerauditions-nrpky-pxjk7,/shows/2023-2024/fiddlerauditions-nrpky/,show -> custom post type
/blog/fiddlerjr,/news/fiddlerjr/,blog post -> news
/blog/2022/offshelf1-7wyr7-f8j4h,/news/2022/offshelf1-7wyr7-f8j4h/,blog post -> news
/blog/2023/spring-break-camp-2023-skills-break-camp,/news/2023/spring-break-camp-2023-skills-break-camp/,blog post -> news
/blog/20222023/significantaudition-r2zm9,/shows/2022-2023/significantaudition/,show -> custom post type
/blog/2022/offshelf1-7wyr7,/news/2022/offshelf1-7wyr7/,blog post -> news
/blog/2016/fools-play-improv-at-tlt-gwn7e,/news/2016/fools-play-improv-at-tlt-gwn7e/,blog post -> news
/blog/2022/spring-education-2022-bgrgt-267bt,/news/2022/spring-education-2022-bgrgt-267bt/,blog post -> news
/blog/20222023/wintercamp,/shows/2022-2023/wintercamp/,show -> custom post type
/blog/20222023/significantaudition,/shows/2022-2023/significantaudition/,show -> custom post type
/blog/20222023/rockauditions,/shows/2022-2023/rockauditions/,show -> custom post type
/blog/2022/winter-break-2022-a-year-with-frog-and-toad,/news/2022/winter-break-2022-a-year-with-frog-and-toad/,blog post -> news
/blog/20212022/covidprotocols,/shows/2021-2022/covidprotocols/,show -> custom post type
/blog/20222023/poboyaud,/shows/2022-2023/poboyaud/,show -> custom post type
/blog/2022/ots2,/news/2022/ots2/,blog post -> news
/blog/2022/scholarship-application,/news/2022/scholarship-application/,blog post -> news
/blog/2022/offshelf1,/news/2022/offshelf1/,blog post -> news
/blog/20212022/terms,/shows/2021-2022/terms/,show -> custom post type
/blog/20212022/clue,/shows/2021-2022/clue/,show -> custom post type
/blog/20212022/clue-rhe7l,/shows/2021-2022/clue/,show -> custom post type
/blog/20212022/clue-633y7,/shows/2021-2022/clue/,show -> custom post type
/blog/20212022/clue-anzln-g52ct,/shows/2021-2022/clue-anzln/,show -> custom post type
/blog/2021/russell,/news/2021/russell/,blog post -> news
/blog/2021/ballinger,/news/2021/ballinger/,blog post -> news
/blog/20212022/clue-anzln-g52ct-dwpf6,/shows/2021-2022/clue-anzln/,show -> custom post type
/blog/20212022/clue-anzln,/shows/2021-2022/clue-anzln/,show -> custom post type
/blog/kaleidoscope-registration,/news/kaleidoscope-registration/,blog post -> news
/blog/2022/spring-education-2022-bgrgt,/news/2022/spring-education-2022-bgrgt/,blog post -> news
/blog/20222023/xmasauditions,/shows/2022-2023/xmasauditions/,show -> custom post type
/blog/20222023/lion-br6d8,/shows/2022-2023/lion/,show -> custom post type
/blog/20222023/lion,/shows/2022-2023/lion/,show -> custom post type
/blog/2022/season-2020-2021,/news/2022/season-2020-2021/,blog post -> news
/blog/20222023/seasontix,/shows/2022-2023/seasontix/,show -> custom post type
/blog/20222023/steelaud,/shows/2022-2023/steelaud/,show -> custom post type
/blog/20212022/cryitout,/shows/2021-2022/cryitout/,show -> custom post type
/blog/20212022/seasontickets,/shows/2021-2022/seasontickets/,show -> custom post type
/blog/20212022/june19,/shows/2021-2022/june19/,show -> custom post type
/blog/20212022/alltogethernow,/shows/2021-2022/alltogethernow/,show -> custom post type
/blog/2022/spring-education-2022,/news/2022/spring-education-2022/,blog post -> news
/blog/20212022/auditionsclue,/shows/2021-2022/auditionsclue/,show -> custom post type
/blog/2019/summercamppoppins-rpwsh-dkt88,/news/2019/summercamppoppins-rpwsh-dkt88/,blog post -> news
/blog/2022/summercamp,/news/2022/summercamp/,blog post -> news
/blog/2019/summercamppoppins-rpwsh,/news/2019/summercamppoppins-rpwsh/,blog post -> news
/blog/2122/offtheshelfboudica,/news/2122/offtheshelfboudica/,blog post -> news
/blog/20212022/theguys,/shows/2021-2022/theguys/,show -> custom post type
/blog/20212022/auditionsoz-bpk42,/shows/2021-2022/auditionsoz/,show -> custom post type
/blog/20212022/auditionssky-jxcgy,/shows/2021-2022/auditionssky-jxcgy/,show -> custom post type
/blog/2018/offtheshelfrevolution-7lpkw-eydma-tfp5d-j22jm,/news/2018/offtheshelfrevolution-7lpkw-eydma-tfp5d-j22jm/,blog post -> news
/blog/20212022/auditionsoz,/shows/2021-2022/auditionsoz/,show -> custom post type
/blog/2021/falled-lc9tl,/news/2021/falled-lc9tl/,blog post -> news
/blog/2021/summerallages,/news/2021/summerallages/,blog post -> news
/blog/2018/offtheshelfrevolution-7lpkw-eydma-tfp5d,/news/2018/offtheshelfrevolution-7lpkw-eydma-tfp5d/,blog post -> news
/blog/2019/summercamppoppins-rpwsh-jzptm,/news/2019/summercamppoppins-rpwsh-jzptm/,blog post -> news
/blog/2019/spacies,/news/2019/spacies/,blog post -> news
/blog/2019/choruslineaudition-rr6em,/news/2019/choruslineaudition-rr6em/,blog post -> news
